sheet,row_id,token,codepoint,layer_role,min_weight,max_weight,notes
creatures,actor_base,BASE,,layer,1,6,draw at least w1 and w2
creatures,actor_head,HEAD,,layer,1,6,draw at least w1 and w2
creatures,actor_torso,TORS,,layer,1,6,draw at least w1 and w2
creatures,actor_legs,LEGS,,layer,1,6,draw at least w1 and w2
creatures,actor_hair_short,HS,,layer,1,6,draw at least w1 and w2
creatures,actor_hair_long,HL,,layer,1,6,draw at least w1 and w2
creatures,actor_eyes,EYES,,layer,1,6,draw at least w1 and w2
creatures,actor_beard,BRD,,layer,1,6,draw at least w1 and w2
creatures,actor_shirt,SHRT,,layer,1,6,draw at least w1 and w2
creatures,actor_pants,PANT,,layer,1,6,draw at least w1 and w2
creatures,actor_boots,BOOT,,layer,1,6,draw at least w1 and w2
creatures,actor_gloves,GLV,,layer,1,6,draw at least w1 and w2
creatures,actor_cloak,CLK,,layer,1,6,draw at least w1 and w2
creatures,armor_helmet,HELM,,layer,1,6,draw at least w1 and w2
creatures,armor_chest,CHST,,layer,1,6,draw at least w1 and w2
creatures,armor_legs,ALGS,,layer,1,6,draw at least w1 and w2
creatures,armor_boots,ABOT,,layer,1,6,draw at least w1 and w2
creatures,weapon_sword,SWD,,layer,1,6,draw at least w1 and w2
creatures,weapon_dagger,DAG,,layer,1,6,draw at least w1 and w2
creatures,weapon_staff,STF,,layer,1,6,draw at least w1 and w2
creatures,npc_base,NPC,,layer,1,6,draw at least w1 and w2
creatures,creature_wolf,WLF,,layer,1,6,draw at least w1 and w2
creatures,creature_bird,BRD,,layer,1,6,draw at least w1 and w2
creatures,creature_beast,BST,,layer,1,6,draw at least w1 and w2
creatures,corpse_base,RIP,,layer,1,6,draw at least w1 and w2
