sheet,row_id,token,codepoint,layer_role,min_weight,max_weight,notes
text,space, , ,fg,1,6,leave transparent
text,missing_glyph,?,?,fg,1,6,draw at least w1 and w2
text,upper_A,A,A,fg,1,6,draw at least w1 and w2
text,upper_B,B,B,fg,1,6,draw at least w1 and w2
text,upper_C,C,C,fg,1,6,draw at least w1 and w2
text,upper_D,D,D,fg,1,6,draw at least w1 and w2
text,upper_E,E,E,fg,1,6,draw at least w1 and w2
text,upper_F,F,F,fg,1,6,draw at least w1 and w2
text,upper_G,G,G,fg,1,6,draw at least w1 and w2
text,upper_H,H,H,fg,1,6,draw at least w1 and w2
text,upper_I,I,I,fg,1,6,draw at least w1 and w2
text,upper_J,J,J,fg,1,6,draw at least w1 and w2
text,upper_K,K,K,fg,1,6,draw at least w1 and w2
text,upper_L,L,L,fg,1,6,draw at least w1 and w2
text,upper_M,M,M,fg,1,6,draw at least w1 and w2
text,upper_N,N,N,fg,1,6,draw at least w1 and w2
text,upper_O,O,O,fg,1,6,draw at least w1 and w2
text,upper_P,P,P,fg,1,6,draw at least w1 and w2
text,upper_Q,Q,Q,fg,1,6,draw at least w1 and w2
text,upper_R,R,R,fg,1,6,draw at least w1 and w2
text,upper_S,S,S,fg,1,6,draw at least w1 and w2
text,upper_T,T,T,fg,1,6,draw at least w1 and w2
text,upper_U,U,U,fg,1,6,draw at least w1 and w2
text,upper_V,V,V,fg,1,6,draw at least w1 and w2
text,upper_W,W,W,fg,1,6,draw at least w1 and w2
text,upper_X,X,X,fg,1,6,draw at least w1 and w2
text,upper_Y,Y,Y,fg,1,6,draw at least w1 and w2
text,upper_Z,Z,Z,fg,1,6,draw at least w1 and w2
text,lower_a,a,a,fg,1,6,draw at least w1 and w2
text,lower_b,b,b,fg,1,6,draw at least w1 and w2
text,lower_c,c,c,fg,1,6,draw at least w1 and w2
text,lower_d,d,d,fg,1,6,draw at least w1 and w2
text,lower_e,e,e,fg,1,6,draw at least w1 and w2
text,lower_f,f,f,fg,1,6,draw at least w1 and w2
text,lower_g,g,g,fg,1,6,draw at least w1 and w2
text,lower_h,h,h,fg,1,6,draw at least w1 and w2
text,lower_i,i,i,fg,1,6,draw at least w1 and w2
text,lower_j,j,j,fg,1,6,draw at least w1 and w2
text,lower_k,k,k,fg,1,6,draw at least w1 and w2
text,lower_l,l,l,fg,1,6,draw at least w1 and w2
text,lower_m,m,m,fg,1,6,draw at least w1 and w2
text,lower_n,n,n,fg,1,6,draw at least w1 and w2
text,lower_o,o,o,fg,1,6,draw at least w1 and w2
text,lower_p,p,p,fg,1,6,draw at least w1 and w2
text,lower_q,q,q,fg,1,6,draw at least w1 and w2
text,lower_r,r,r,fg,1,6,draw at least w1 and w2
text,lower_s,s,s,fg,1,6,draw at least w1 and w2
text,lower_t,t,t,fg,1,6,draw at least w1 and w2
text,lower_u,u,u,fg,1,6,draw at least w1 and w2
text,lower_v,v,v,fg,1,6,draw at least w1 and w2
text,lower_w,w,w,fg,1,6,draw at least w1 and w2
text,lower_x,x,x,fg,1,6,draw at least w1 and w2
text,lower_y,y,y,fg,1,6,draw at least w1 and w2
text,lower_z,z,z,fg,1,6,draw at least w1 and w2
text,digit_0,0,0,fg,1,6,draw at least w1 and w2
text,digit_1,1,1,fg,1,6,draw at least w1 and w2
text,digit_2,2,2,fg,1,6,draw at least w1 and w2
text,digit_3,3,3,fg,1,6,draw at least w1 and w2
text,digit_4,4,4,fg,1,6,draw at least w1 and w2
text,digit_5,5,5,fg,1,6,draw at least w1 and w2
text,digit_6,6,6,fg,1,6,draw at least w1 and w2
text,digit_7,7,7,fg,1,6,draw at least w1 and w2
text,digit_8,8,8,fg,1,6,draw at least w1 and w2
text,digit_9,9,9,fg,1,6,draw at least w1 and w2
text,punct_period,.,.,fg,1,6,draw at least w1 and w2
text,punct_comma,",",",",fg,1,6,draw at least w1 and w2
text,punct_colon,:,:,fg,1,6,draw at least w1 and w2
text,punct_semicolon,;,;,fg,1,6,draw at least w1 and w2
text,punct_exclam,!,!,fg,1,6,draw at least w1 and w2
text,punct_question,?,?,fg,1,6,draw at least w1 and w2
text,punct_apostrophe,',',fg,1,6,draw at least w1 and w2
text,punct_quote,"""","""",fg,1,6,draw at least w1 and w2
text,punct_hyphen,-,-,fg,1,6,draw at least w1 and w2
text,punct_underscore,_,_,fg,1,6,draw at least w1 and w2
text,punct_plus,+,+,fg,1,6,draw at least w1 and w2
text,punct_equals,=,=,fg,1,6,draw at least w1 and w2
text,punct_slash,/,/,fg,1,6,draw at least w1 and w2
text,punct_backslash,\,\,fg,1,6,draw at least w1 and w2
text,punct_paren_l,(,(,fg,1,6,draw at least w1 and w2
text,punct_paren_r,),),fg,1,6,draw at least w1 and w2
text,punct_bracket_l,[,[,fg,1,6,draw at least w1 and w2
text,punct_bracket_r,],],fg,1,6,draw at least w1 and w2
text,punct_brace_l,{,{,fg,1,6,draw at least w1 and w2
text,punct_brace_r,},},fg,1,6,draw at least w1 and w2
text,punct_angle_l,<,<,fg,1,6,draw at least w1 and w2
text,punct_angle_r,>,>,fg,1,6,draw at least w1 and w2
text,pipe_vertical,|,|,fg,1,6,draw at least w1 and w2
