sheet,row_id,token,codepoint,layer_role,min_weight,max_weight,notes
ui,border_h,H,,fg,1,6,draw at least w1 and w2
ui,border_v,V,,fg,1,6,draw at least w1 and w2
ui,corner_tl,TL,,fg,1,6,draw at least w1 and w2
ui,corner_tr,TR,,fg,1,6,draw at least w1 and w2
ui,corner_bl,BL,,fg,1,6,draw at least w1 and w2
ui,corner_br,BR,,fg,1,6,draw at least w1 and w2
ui,tee_up,TU,,fg,1,6,draw at least w1 and w2
ui,tee_down,TD,,fg,1,6,draw at least w1 and w2
ui,tee_left,TLF,,fg,1,6,draw at least w1 and w2
ui,tee_right,TRT,,fg,1,6,draw at least w1 and w2
ui,cross,X,,fg,1,6,draw at least w1 and w2
ui,arrow_up,UP,,fg,1,6,draw at least w1 and w2
ui,arrow_down,DN,,fg,1,6,draw at least w1 and w2
ui,arrow_left,LT,,fg,1,6,draw at least w1 and w2
ui,arrow_right,RT,,fg,1,6,draw at least w1 and w2
ui,selector,SEL,,fg,1,6,draw at least w1 and w2
ui,cursor,CUR,,fg,1,6,draw at least w1 and w2
ui,close_icon,X,,fg,1,6,draw at least w1 and w2
ui,move_icon,MV,,fg,1,6,draw at least w1 and w2
ui,resize_icon,RS,,fg,1,6,draw at least w1 and w2
ui,save_icon,SV,,fg,1,6,draw at least w1 and w2
ui,slot_empty,SE,,fg,1,6,draw at least w1 and w2
ui,slot_highlight,SH,,fg,1,6,draw at least w1 and w2
ui,slot_invalid,IV,,fg,1,6,draw at least w1 and w2
ui,panel_fill,PF,,fg,1,6,draw at least w1 and w2
ui,highlight_fill,HF,,fg,1,6,draw at least w1 and w2
ui,target_fill,TG,,fg,1,6,draw at least w1 and w2
